label,ca_rmsd_mean,ca_rmsd_std,allatom_rmsd_mean,allatom_rmsd_std,repr_ca_rmsd,repr_all_rmsd,n_samples
Cluster 0,16.0694,0.08634141532312249,16.2488,0.06135601030054014,16.03,15.995,10
Cluster 1,16.2106,0.10314475265373448,16.351000000000003,0.10170447384456634,16.103,16.211,10
Cluster 2,16.0337,0.16695930641925888,16.1793,0.20856080648098776,15.758,15.764,10
Cluster 3,16.192,0.11757550765359252,16.184599999999996,0.19165135011264597,16.218,16.409,10
Cluster 4,16.3156,0.16744264689737812,16.4524,0.16009072427845453,16.5,16.59,10
Cluster 5,15.9261,0.13917144103586815,16.0565,0.14372421507874014,15.736,15.768,10
Cluster 6,16.1454,0.20639341074753295,16.306500000000003,0.189011243051835,16.421,16.401,10
Cluster 7,16.139699999999998,0.23750749461859114,16.1648,0.2672997568274242,15.962,16.034,10
Cluster 8,16.1635,0.16226105509332822,16.331,0.18541736703987563,16.153,16.133,10
Cluster 9,16.035500000000003,0.037691510980590745,16.3072,0.03188667433270551,16.085,16.017,10
